"patient"	"nCount_RNA"	"nFeature_RNA"	"sample"	"ads_x"	"ads_y"	"pixel_x"	"pixel_y"	"SCT_snn_res.0.8"
"P10_31x45_3"	"10"	"14446"	"3599"	"3"	"30.91"	"45.02"	" 7742.6"	"10954.7"	"4"
"P10_32x22_3"	"10"	"  536"	" 374"	"3"	"31.99"	"22.09"	" 7938.2"	" 6358.7"	"0"
"P10_32x24_3"	"10"	" 3579"	"1347"	"3"	"32.03"	"24.02"	" 7945.7"	" 6746.6"	"5"
"P10_32x26_3"	"10"	" 2180"	"1015"	"3"	"31.99"	"26.03"	" 7938.4"	" 7149.5"	"1"
"P10_32x28_3"	"10"	" 1863"	" 911"	"3"	"31.99"	"28.04"	" 7938.9"	" 7551.3"	"1"
"P10_32x30_3"	"10"	" 2078"	"1016"	"3"	"31.93"	"30.04"	" 7927.7"	" 7952.0"	"0"
"P10_32x32_3"	"10"	"  937"	" 540"	"3"	"31.96"	"32.02"	" 7933.5"	" 8350.0"	"0"
"P10_32x34_3"	"10"	" 1324"	" 834"	"3"	"31.99"	"34.01"	" 7938.3"	" 8747.5"	"2"
"P10_32x36_3"	"10"	" 1163"	" 641"	"3"	"31.95"	"36.03"	" 7931.0"	" 9153.2"	"0"
"P10_32x38_3"	"10"	" 2135"	" 964"	"3"	"31.95"	"38.04"	" 7930.5"	" 9556.3"	"0"
"P10_32x40_3"	"10"	" 2389"	"1102"	"3"	"31.91"	"40.02"	" 7924.0"	" 9951.8"	"0"
"P10_32x42_3"	"10"	" 2208"	"1035"	"3"	"31.93"	"42.06"	" 7927.7"	"10360.7"	"0"
"P10_32x44_3"	"10"	"11686"	"3950"	"3"	"31.97"	"44.05"	" 7934.0"	"10760.5"	"3"
"P10_32x46_3"	"10"	"16121"	"3685"	"3"	"31.90"	"46.06"	" 7921.6"	"11161.9"	"4"
"P10_33x21_3"	"10"	"  304"	" 225"	"3"	"32.97"	"21.02"	" 8114.8"	" 6144.5"	"0"
"P10_33x23_3"	"10"	" 1543"	" 769"	"3"	"33.04"	"23.09"	" 8128.2"	" 6559.0"	"5"
"P10_33x25_3"	"10"	" 4212"	"1600"	"3"	"33.09"	"25.09"	" 8136.4"	" 6960.1"	"1"
"P10_33x27_3"	"10"	" 1389"	" 721"	"3"	"33.08"	"27.04"	" 8134.5"	" 7352.3"	"1"
"P10_33x29_3"	"10"	" 2959"	"1321"	"3"	"32.99"	"29.05"	" 8118.8"	" 7753.7"	"1"
"P10_33x31_3"	"10"	" 1096"	" 620"	"3"	"33.09"	"31.02"	" 8135.9"	" 8148.0"	"1"
"P10_33x33_3"	"10"	"  692"	" 466"	"3"	"33.00"	"32.98"	" 8121.2"	" 8542.1"	"0"
"P10_33x35_3"	"10"	"  848"	" 547"	"3"	"32.98"	"35.03"	" 8116.8"	" 8953.0"	"0"
"P10_33x37_3"	"10"	"  971"	" 563"	"3"	"32.94"	"37.04"	" 8108.8"	" 9356.3"	"0"
"P10_33x39_3"	"10"	" 1655"	" 816"	"3"	"32.92"	"39.01"	" 8105.9"	" 9749.8"	"0"
"P10_33x41_3"	"10"	" 1679"	" 806"	"3"	"32.94"	"41.04"	" 8110.2"	"10157.3"	"0"
"P10_33x43_3"	"10"	"  662"	" 391"	"3"	"32.95"	"43.02"	" 8110.7"	"10554.3"	"0"
"P10_33x45_3"	"10"	"16383"	"4712"	"3"	"32.92"	"45.04"	" 8105.2"	"10957.9"	"2"
"P10_34x20_3"	"10"	"  391"	" 279"	"3"	"34.01"	"20.03"	" 8302.6"	" 5946.4"	"0"
"P10_34x22_3"	"10"	"  345"	" 257"	"3"	"33.99"	"22.03"	" 8299.5"	" 6347.5"	"0"
"P10_34x24_3"	"10"	" 2573"	"1099"	"3"	"34.05"	"23.99"	" 8309.1"	" 6741.1"	"5"
"P10_34x26_3"	"10"	"  938"	" 523"	"3"	"34.00"	"26.02"	" 8300.1"	" 7146.4"	"0"
"P10_34x28_3"	"10"	" 1740"	" 893"	"3"	"33.96"	"28.03"	" 8294.1"	" 7550.5"	"1"
"P10_34x30_3"	"10"	" 1818"	" 941"	"3"	"33.98"	"30.01"	" 8297.9"	" 7946.8"	"1"
"P10_34x32_3"	"10"	"  529"	" 336"	"3"	"33.99"	"32.01"	" 8299.2"	" 8346.8"	"0"
"P10_34x34_3"	"10"	"  819"	" 513"	"3"	"33.96"	"33.98"	" 8293.7"	" 8741.4"	"0"
"P10_34x36_3"	"10"	"  817"	" 538"	"3"	"33.96"	"35.96"	" 8293.2"	" 9138.2"	"0"
"P10_34x38_3"	"10"	" 1007"	" 589"	"3"	"33.96"	"38.01"	" 8293.6"	" 9549.7"	"0"
"P10_34x40_3"	"10"	" 1133"	" 668"	"3"	"33.99"	"40.00"	" 8299.7"	" 9948.8"	"0"
"P10_34x42_3"	"10"	" 1523"	" 811"	"3"	"33.98"	"42.02"	" 8297.3"	"10352.5"	"0"
"P10_34x44_3"	"10"	" 2803"	"1253"	"3"	"34.00"	"44.00"	" 8300.7"	"10749.8"	"1"
"P10_34x46_3"	"10"	"27710"	"5595"	"3"	"33.98"	"46.01"	" 8297.5"	"11152.4"	"3"
"P10_35x19_3"	"10"	"  829"	" 503"	"3"	"35.05"	"19.01"	" 8490.9"	" 5742.0"	"6"
"P10_35x21_3"	"10"	"  891"	" 531"	"3"	"34.99"	"21.00"	" 8479.5"	" 6140.4"	"5"
"P10_35x23_3"	"10"	" 1678"	" 847"	"3"	"35.01"	"23.01"	" 8483.4"	" 6544.4"	"5"
"P10_35x25_3"	"10"	" 3910"	"1569"	"3"	"35.01"	"25.00"	" 8482.6"	" 6943.5"	"0"
"P10_35x27_3"	"10"	" 2665"	"1133"	"3"	"34.99"	"27.04"	" 8479.2"	" 7350.8"	"1"
"P10_35x29_3"	"10"	" 4362"	"1729"	"3"	"35.04"	"29.02"	" 8488.5"	" 7748.0"	"1"
"P10_35x31_3"	"10"	"  796"	" 462"	"3"	"35.00"	"31.00"	" 8480.8"	" 8145.4"	"0"
"P10_35x33_3"	"10"	"  635"	" 422"	"3"	"34.95"	"32.98"	" 8472.9"	" 8541.2"	"0"
"P10_35x35_3"	"10"	"  629"	" 410"	"3"	"34.99"	"34.98"	" 8478.6"	" 8942.9"	"0"
"P10_35x37_3"	"10"	"  585"	" 429"	"3"	"34.96"	"37.00"	" 8473.7"	" 9346.5"	"0"
"P10_35x39_3"	"10"	"  800"	" 484"	"3"	"34.99"	"38.99"	" 8480.1"	" 9746.6"	"0"
"P10_35x41_3"	"10"	"  949"	" 534"	"3"	"35.01"	"40.99"	" 8483.2"	"10147.7"	"0"
"P10_35x43_3"	"10"	" 2717"	"1433"	"3"	"35.02"	"43.01"	" 8485.5"	"10551.3"	"2"
"P10_35x45_3"	"10"	" 6942"	"2627"	"3"	"34.98"	"45.01"	" 8478.5"	"10952.4"	"3"
"P10_35x47_3"	"10"	"11578"	"3371"	"3"	"35.00"	"47.00"	" 8480.8"	"11350.8"	"0"
"P10_36x18_3"	"10"	"  797"	" 500"	"3"	"36.01"	"18.00"	" 8664.2"	" 5539.2"	"6"
"P10_36x20_3"	"10"	"  980"	" 610"	"3"	"35.99"	"19.97"	" 8659.8"	" 5935.0"	"5"
"P10_36x22_3"	"10"	" 1114"	" 646"	"3"	"35.99"	"21.98"	" 8659.8"	" 6338.3"	"5"
"P10_36x24_3"	"10"	" 2781"	"1250"	"3"	"35.95"	"23.99"	" 8653.5"	" 6740.9"	"5"
"P10_36x26_3"	"10"	" 3226"	"1354"	"3"	"35.99"	"25.96"	" 8660.3"	" 7134.2"	"1"
"P10_36x28_3"	"10"	" 4262"	"1617"	"3"	"36.03"	"28.01"	" 8666.5"	" 7546.7"	"1"
"P10_36x30_3"	"10"	" 2359"	"1103"	"3"	"35.98"	"29.98"	" 8658.2"	" 7940.7"	"1"
"P10_36x32_3"	"10"	"  387"	" 268"	"3"	"35.97"	"31.98"	" 8657.1"	" 8341.9"	"0"
"P10_36x34_3"	"10"	"  525"	" 353"	"3"	"35.96"	"33.97"	" 8655.1"	" 8740.9"	"0"
"P10_36x36_3"	"10"	"  706"	" 479"	"3"	"35.97"	"35.99"	" 8657.1"	" 9143.9"	"0"
"P10_36x38_3"	"10"	" 1123"	" 785"	"3"	"35.96"	"37.97"	" 8654.8"	" 9540.9"	"2"
"P10_36x40_3"	"10"	"  902"	" 531"	"3"	"35.98"	"39.99"	" 8657.9"	" 9946.2"	"0"
"P10_36x42_3"	"10"	"  960"	" 576"	"3"	"35.99"	"42.01"	" 8659.2"	"10351.4"	"0"
"P10_36x44_3"	"10"	" 1779"	" 910"	"3"	"36.00"	"43.99"	" 8662.4"	"10747.0"	"0"
"P10_36x46_3"	"10"	"27909"	"5365"	"3"	"35.98"	"45.98"	" 8657.4"	"11147.3"	"3"
"P10_37x15_3"	"10"	"  293"	" 233"	"3"	"37.00"	"14.97"	" 8841.8"	" 4933.1"	"0"
"P10_37x17_3"	"10"	"  338"	" 258"	"3"	"37.01"	"16.99"	" 8844.4"	" 5337.0"	"0"
"P10_37x19_3"	"10"	"  563"	" 370"	"3"	"36.97"	"18.98"	" 8836.2"	" 5736.2"	"0"
"P10_37x21_3"	"10"	" 2180"	"1015"	"3"	"36.98"	"20.98"	" 8838.2"	" 6136.4"	"5"
"P10_37x23_3"	"10"	" 3676"	"1447"	"3"	"37.01"	"23.01"	" 8844.2"	" 6543.2"	"6"
"P10_37x25_3"	"10"	" 2747"	"1233"	"3"	"36.96"	"24.97"	" 8834.8"	" 6935.6"	"1"
"P10_37x27_3"	"10"	" 3182"	"1372"	"3"	"36.99"	"26.99"	" 8839.8"	" 7340.7"	"1"
"P10_37x29_3"	"10"	" 2234"	"1053"	"3"	"37.00"	"29.01"	" 8841.7"	" 7745.7"	"1"
"P10_37x31_3"	"10"	"  919"	" 542"	"3"	"36.99"	"31.00"	" 8840.8"	" 8144.8"	"0"
"P10_37x33_3"	"10"	"  509"	" 346"	"3"	"36.95"	"32.98"	" 8833.4"	" 8541.7"	"0"
"P10_37x35_3"	"10"	"  392"	" 284"	"3"	"36.99"	"34.97"	" 8839.7"	" 8941.1"	"0"
"P10_37x37_3"	"10"	" 1196"	" 797"	"3"	"36.95"	"36.98"	" 8833.9"	" 9343.5"	"0"
"P10_37x39_3"	"10"	"  532"	" 373"	"3"	"36.96"	"39.00"	" 8835.0"	" 9747.6"	"0"
"P10_37x41_3"	"10"	" 1614"	"1040"	"3"	"37.00"	"40.98"	" 8841.6"	"10145.6"	"2"
"P10_37x43_3"	"10"	"  715"	" 437"	"3"	"37.01"	"42.99"	" 8844.2"	"10547.0"	"0"
"P10_37x45_3"	"10"	"22780"	"5297"	"3"	"36.97"	"45.00"	" 8837.1"	"10949.7"	"3"
"P10_37x49_3"	"10"	"15670"	"3685"	"3"	"37.01"	"48.95"	" 8843.1"	"11742.6"	"4"
"P10_38x14_3"	"10"	"  635"	" 443"	"3"	"37.99"	"14.09"	" 9020.4"	" 4756.4"	"2"
"P10_38x16_3"	"10"	"  902"	" 613"	"3"	"38.00"	"16.04"	" 9022.7"	" 5147.7"	"0"
"P10_38x18_3"	"10"	" 1425"	" 752"	"3"	"37.99"	"18.05"	" 9020.9"	" 5549.7"	"0"
"P10_38x20_3"	"10"	" 2778"	"1244"	"3"	"37.95"	"20.07"	" 9014.1"	" 5954.8"	"6"
"P10_38x22_3"	"10"	" 1181"	" 617"	"3"	"37.96"	"22.04"	" 9015.7"	" 6349.4"	"1"
"P10_38x24_3"	"10"	" 4128"	"1699"	"3"	"37.96"	"24.04"	" 9015.5"	" 6749.7"	"1"
"P10_38x26_3"	"10"	" 3408"	"1494"	"3"	"38.00"	"26.05"	" 9023.5"	" 7153.4"	"0"
"P10_38x28_3"	"10"	" 3709"	"1481"	"3"	"37.97"	"28.07"	" 9017.0"	" 7557.8"	"1"
"P10_38x30_3"	"10"	" 1267"	" 739"	"3"	"37.95"	"30.04"	" 9013.3"	" 7953.1"	"1"
"P10_38x32_3"	"10"	"  588"	" 397"	"3"	"37.97"	"32.04"	" 9017.1"	" 8353.6"	"0"
"P10_38x34_3"	"10"	"  408"	" 288"	"3"	"37.99"	"33.99"	" 9021.3"	" 8744.6"	"0"
"P10_38x36_3"	"10"	"  331"	" 255"	"3"	"37.95"	"36.05"	" 9013.3"	" 9156.9"	"0"
"P10_38x38_3"	"10"	"  561"	" 415"	"3"	"37.96"	"38.04"	" 9015.2"	" 9555.7"	"0"
"P10_38x40_3"	"10"	"  714"	" 491"	"3"	"37.95"	"40.02"	" 9014.1"	" 9953.1"	"0"
"P10_38x42_3"	"10"	"  685"	" 460"	"3"	"38.05"	"42.00"	" 9032.6"	"10349.2"	"0"
"P10_38x44_3"	"10"	" 3365"	"1610"	"3"	"38.00"	"44.05"	" 9022.3"	"10760.2"	"3"
"P10_38x46_3"	"10"	"12732"	"3875"	"3"	"37.96"	"46.01"	" 9016.0"	"11153.1"	"3"
"P10_38x48_3"	"10"	" 1556"	" 829"	"3"	"37.97"	"48.01"	" 9017.0"	"11552.9"	"0"
"P10_38x50_3"	"10"	" 7402"	"2161"	"3"	"38.00"	"50.01"	" 9021.8"	"11953.7"	"4"
"P10_39x21_3"	"10"	" 2222"	"1071"	"3"	"38.97"	"21.04"	" 9198.4"	" 6149.6"	"0"
"P10_39x23_3"	"10"	"  602"	" 409"	"3"	"39.01"	"23.05"	" 9204.1"	" 6551.1"	"0"
"P10_39x25_3"	"10"	" 3318"	"1485"	"3"	"38.97"	"25.04"	" 9197.3"	" 6950.3"	"1"
"P10_39x27_3"	"10"	" 3853"	"1656"	"3"	"39.02"	"27.04"	" 9207.6"	" 7350.5"	"1"
"P10_39x29_3"	"10"	"  924"	" 552"	"3"	"38.95"	"29.06"	" 9193.8"	" 7756.7"	"1"
"P10_39x31_3"	"10"	"  785"	" 471"	"3"	"38.96"	"31.06"	" 9196.2"	" 8156.8"	"0"
"P10_39x33_3"	"10"	"  845"	" 540"	"3"	"38.99"	"33.00"	" 9200.7"	" 8546.6"	"0"
"P10_39x35_3"	"10"	"  361"	" 267"	"3"	"39.00"	"35.04"	" 9202.7"	" 8953.7"	"2"
"P10_39x37_3"	"10"	"  335"	" 254"	"3"	"38.96"	"37.05"	" 9195.0"	" 9357.2"	"0"
"P10_39x39_3"	"10"	"  556"	" 396"	"3"	"38.97"	"39.04"	" 9197.2"	" 9755.4"	"0"
"P10_39x41_3"	"10"	"  639"	" 418"	"3"	"38.98"	"41.06"	" 9199.6"	"10160.7"	"0"
"P10_39x43_3"	"10"	"  648"	" 429"	"3"	"39.00"	"43.04"	" 9203.7"	"10557.3"	"1"
"P10_39x45_3"	"10"	" 6744"	"2587"	"3"	"38.96"	"45.02"	" 9196.2"	"10955.0"	"3"
"P10_39x49_3"	"10"	"27036"	"5304"	"3"	"38.99"	"49.02"	" 9200.7"	"11755.0"	"3"
"P10_40x20_3"	"10"	" 2416"	"1162"	"3"	"39.97"	"20.04"	" 9377.8"	" 5948.6"	"0"
"P10_40x22_3"	"10"	"  524"	" 371"	"3"	"39.98"	"22.04"	" 9380.6"	" 6348.9"	"0"
"P10_40x24_3"	"10"	" 1087"	" 706"	"3"	"39.98"	"24.03"	" 9379.9"	" 6748.6"	"2"
"P10_40x26_3"	"10"	" 2105"	"1205"	"3"	"40.02"	"26.03"	" 9386.8"	" 7148.7"	"2"
"P10_40x28_3"	"10"	" 1282"	" 769"	"3"	"39.94"	"28.04"	" 9372.6"	" 7551.4"	"0"
"P10_40x30_3"	"10"	"  561"	" 373"	"3"	"39.94"	"30.06"	" 9372.8"	" 7957.1"	"0"
"P10_40x32_3"	"10"	"  794"	" 487"	"3"	"39.98"	"32.04"	" 9379.8"	" 8353.4"	"0"
"P10_40x34_3"	"10"	"  404"	" 300"	"3"	"40.00"	"34.02"	" 9383.0"	" 8749.7"	"0"
"P10_40x36_3"	"10"	"  584"	" 408"	"3"	"39.98"	"36.04"	" 9380.7"	" 9154.2"	"1"
"P10_40x38_3"	"10"	"  405"	" 291"	"3"	"39.96"	"38.01"	" 9375.9"	" 9548.7"	"0"
"P10_40x40_3"	"10"	"  662"	" 439"	"3"	"39.97"	"40.06"	" 9377.4"	" 9960.0"	"0"
"P10_40x42_3"	"10"	"  612"	" 426"	"3"	"39.98"	"42.01"	" 9380.3"	"10351.3"	"1"
"P10_40x44_3"	"10"	" 1808"	"1039"	"3"	"39.97"	"44.02"	" 9379.0"	"10754.7"	"3"
"P10_40x46_3"	"10"	"  482"	" 364"	"3"	"39.97"	"46.01"	" 9377.7"	"11152.4"	"0"
"P10_40x48_3"	"10"	"12618"	"3860"	"3"	"39.98"	"48.01"	" 9379.6"	"11553.0"	"3"
"P10_40x50_3"	"10"	"14963"	"3616"	"3"	"40.03"	"49.99"	" 9388.1"	"11950.4"	"4"
"P10_41x21_3"	"10"	" 6006"	"2202"	"3"	"40.97"	"21.02"	" 9559.2"	" 6145.1"	"2"
"P10_41x23_3"	"10"	"  797"	" 521"	"3"	"40.99"	"23.06"	" 9562.0"	" 6553.1"	"0"
"P10_41x25_3"	"10"	" 1053"	" 666"	"3"	"41.02"	"25.03"	" 9567.4"	" 6948.9"	"2"
"P10_41x27_3"	"10"	" 1552"	" 921"	"3"	"41.01"	"27.00"	" 9565.1"	" 7344.3"	"2"
"P10_41x29_3"	"10"	"  685"	" 430"	"3"	"40.95"	"29.04"	" 9555.6"	" 7752.7"	"0"
"P10_41x31_3"	"10"	"  393"	" 271"	"3"	"40.97"	"31.04"	" 9558.5"	" 8153.1"	"0"
"P10_41x33_3"	"10"	"  638"	" 430"	"3"	"40.97"	"33.04"	" 9559.5"	" 8553.6"	"0"
"P10_41x35_3"	"10"	"  414"	" 296"	"3"	"40.99"	"35.02"	" 9562.6"	" 8950.6"	"0"
"P10_41x37_3"	"10"	"  431"	" 327"	"3"	"40.95"	"37.04"	" 9555.7"	" 9355.3"	"0"
"P10_41x39_3"	"10"	"  447"	" 310"	"3"	"40.96"	"39.02"	" 9556.3"	" 9752.1"	"0"
"P10_41x41_3"	"10"	"  466"	" 329"	"3"	"40.98"	"41.03"	" 9559.6"	"10155.2"	"0"
"P10_41x43_3"	"10"	"  426"	" 338"	"3"	"40.99"	"43.03"	" 9562.7"	"10555.5"	"0"
"P10_41x45_3"	"10"	"  561"	" 408"	"3"	"40.95"	"45.02"	" 9555.3"	"10953.6"	"0"
"P10_41x47_3"	"10"	"  373"	" 280"	"3"	"40.97"	"47.01"	" 9558.3"	"11352.4"	"0"
"P10_41x49_3"	"10"	"32792"	"6166"	"3"	"40.97"	"48.99"	" 9559.2"	"11750.6"	"3"
"P10_42x22_3"	"10"	" 2559"	"1203"	"3"	"41.99"	"22.06"	" 9742.2"	" 6353.4"	"6"
"P10_42x24_3"	"10"	" 2539"	"1225"	"3"	"41.99"	"24.05"	" 9741.9"	" 6752.0"	"6"
"P10_42x26_3"	"10"	" 1362"	" 799"	"3"	"42.00"	"26.06"	" 9744.8"	" 7154.4"	"0"
"P10_42x28_3"	"10"	"  757"	" 498"	"3"	"41.98"	"28.01"	" 9740.4"	" 7546.2"	"0"
"P10_42x30_3"	"10"	"  740"	" 471"	"3"	"41.95"	"30.03"	" 9736.4"	" 7950.6"	"1"
"P10_42x32_3"	"10"	"  837"	" 519"	"3"	"41.98"	"32.02"	" 9740.4"	" 8350.1"	"0"
"P10_42x34_3"	"10"	"  267"	" 195"	"3"	"42.00"	"34.02"	" 9744.2"	" 8749.9"	"0"
"P10_42x36_3"	"10"	"  443"	" 317"	"3"	"41.96"	"36.02"	" 9737.1"	" 9151.2"	"1"
"P10_42x38_3"	"10"	"  617"	" 442"	"3"	"41.94"	"38.04"	" 9734.5"	" 9554.8"	"0"
"P10_42x40_3"	"10"	"  641"	" 433"	"3"	"41.98"	"40.02"	" 9740.4"	" 9953.3"	"2"
"P10_42x42_3"	"10"	"  545"	" 371"	"3"	"42.01"	"42.02"	" 9745.8"	"10354.1"	"0"
"P10_42x44_3"	"10"	"  315"	" 264"	"3"	"42.00"	"44.02"	" 9744.0"	"10753.2"	"1"
"P10_42x46_3"	"10"	"  435"	" 344"	"3"	"41.96"	"46.02"	" 9737.5"	"11154.2"	"2"
"P10_42x48_3"	"10"	"15830"	"4415"	"3"	"41.98"	"48.01"	" 9741.8"	"11553.6"	"3"
"P10_42x50_3"	"10"	" 8667"	"2459"	"3"	"42.00"	"50.00"	" 9745.4"	"11953.2"	"4"
"P10_43x21_3"	"10"	" 4421"	"1752"	"3"	"42.97"	"21.07"	" 9919.6"	" 6154.7"	"1"
"P10_43x23_3"	"10"	" 2132"	"1023"	"3"	"42.98"	"23.05"	" 9921.8"	" 6552.7"	"6"
"P10_43x25_3"	"10"	" 3334"	"1470"	"3"	"43.00"	"25.07"	" 9924.3"	" 6956.8"	"1"
"P10_43x27_3"	"10"	" 1210"	" 699"	"3"	"43.00"	"27.04"	" 9925.8"	" 7351.3"	"0"
"P10_43x29_3"	"10"	"  783"	" 523"	"3"	"42.95"	"29.02"	" 9915.4"	" 7749.1"	"0"
"P10_43x31_3"	"10"	"  469"	" 319"	"3"	"42.99"	"31.03"	" 9922.6"	" 8151.6"	"0"
"P10_43x33_3"	"10"	"  837"	" 496"	"3"	"42.98"	"33.01"	" 9920.8"	" 8548.5"	"0"
"P10_43x35_3"	"10"	"  365"	" 262"	"3"	"43.00"	"35.02"	" 9924.5"	" 8951.2"	"0"
"P10_43x37_3"	"10"	"  351"	" 270"	"3"	"42.95"	"37.03"	" 9915.1"	" 9353.0"	"0"
"P10_43x39_3"	"10"	"  602"	" 412"	"3"	"42.96"	"39.05"	" 9918.5"	" 9757.8"	"0"
"P10_43x41_3"	"10"	"  641"	" 441"	"3"	"42.97"	"41.01"	" 9919.9"	"10151.3"	"0"
"P10_43x43_3"	"10"	"  303"	" 254"	"3"	"43.00"	"43.02"	" 9925.2"	"10554.2"	"0"
"P10_43x45_3"	"10"	"  304"	" 246"	"3"	"42.95"	"45.02"	" 9916.8"	"10954.9"	"0"
"P10_43x47_3"	"10"	"  736"	" 549"	"3"	"42.97"	"47.01"	" 9920.2"	"11352.6"	"2"
"P10_43x49_3"	"10"	" 6426"	"2106"	"3"	"43.00"	"49.00"	" 9924.5"	"11751.0"	"0"
"P10_44x22_3"	"10"	" 3161"	"1344"	"3"	"43.99"	"22.06"	"10104.2"	" 6353.3"	"6"
"P10_44x24_3"	"10"	" 2247"	"1116"	"3"	"43.99"	"24.08"	"10103.5"	" 6759.2"	"2"
"P10_44x26_3"	"10"	" 1118"	" 725"	"3"	"44.00"	"26.06"	"10105.7"	" 7155.2"	"2"
"P10_44x28_3"	"10"	" 1350"	" 780"	"3"	"43.98"	"28.04"	"10101.9"	" 7552.5"	"0"
"P10_44x30_3"	"10"	"  711"	" 442"	"3"	"43.97"	"30.07"	"10100.8"	" 7958.7"	"2"
"P10_44x32_3"	"10"	" 1262"	" 720"	"3"	"43.98"	"32.04"	"10101.9"	" 8352.7"	"0"
"P10_44x34_3"	"10"	"  535"	" 379"	"3"	"44.01"	"34.04"	"10106.4"	" 8754.1"	"0"
"P10_44x36_3"	"10"	"  375"	" 272"	"3"	"43.96"	"36.03"	"10099.1"	" 9152.6"	"0"
"P10_44x38_3"	"10"	"  366"	" 284"	"3"	"43.95"	"38.05"	"10097.0"	" 9556.8"	"0"
"P10_44x40_3"	"10"	"  548"	" 386"	"3"	"43.97"	"40.04"	"10099.9"	" 9955.9"	"0"
"P10_44x42_3"	"10"	"  425"	" 309"	"3"	"44.00"	"42.03"	"10104.6"	"10355.5"	"0"
"P10_44x44_3"	"10"	"  408"	" 317"	"3"	"44.00"	"44.01"	"10104.7"	"10752.6"	"0"
"P10_44x46_3"	"10"	"  275"	" 227"	"3"	"43.97"	"46.03"	"10100.2"	"11157.6"	"0"
"P10_45x21_3"	"10"	" 4043"	"1695"	"3"	"44.99"	"21.08"	"10283.9"	" 6158.0"	"1"
"P10_45x23_3"	"10"	" 2335"	"1156"	"3"	"44.98"	"23.07"	"10283.0"	" 6556.5"	"6"
"P10_45x25_3"	"10"	" 1128"	" 742"	"3"	"45.01"	"25.09"	"10286.8"	" 6960.9"	"2"
"P10_45x27_3"	"10"	" 1884"	"1112"	"3"	"45.03"	"27.04"	"10291.1"	" 7350.6"	"2"
"P10_45x29_3"	"10"	" 1145"	" 660"	"3"	"44.97"	"29.04"	"10280.1"	" 7752.4"	"0"
"P10_45x31_3"	"10"	"  940"	" 597"	"3"	"44.99"	"31.05"	"10284.2"	" 8154.4"	"0"
"P10_45x33_3"	"10"	"  635"	" 422"	"3"	"45.01"	"32.98"	"10287.9"	" 8541.6"	"0"
"P10_45x35_3"	"10"	"  451"	" 321"	"3"	"45.00"	"35.04"	"10286.4"	" 8955.5"	"0"
"P10_45x37_3"	"10"	"  270"	" 204"	"3"	"44.96"	"37.06"	"10277.9"	" 9358.5"	"0"
"P10_45x39_3"	"10"	"  397"	" 283"	"3"	"44.97"	"39.05"	"10280.9"	" 9758.2"	"0"
"P10_45x41_3"	"10"	"  573"	" 375"	"3"	"44.98"	"41.04"	"10282.3"	"10156.8"	"0"
"P10_45x43_3"	"10"	"  472"	" 355"	"3"	"45.01"	"43.05"	"10287.1"	"10560.2"	"0"
"P10_45x45_3"	"10"	"  377"	" 295"	"3"	"44.97"	"45.05"	"10281.0"	"10960.5"	"0"
"P10_46x22_3"	"10"	" 4978"	"1902"	"3"	"46.03"	"22.08"	"10472.6"	" 6357.4"	"1"
"P10_46x24_3"	"10"	"  789"	" 542"	"3"	"46.03"	"24.08"	"10472.0"	" 6758.0"	"2"
"P10_46x26_3"	"10"	"  920"	" 630"	"3"	"45.99"	"26.10"	"10463.7"	" 7162.8"	"0"
"P10_46x28_3"	"10"	" 5453"	"2224"	"3"	"45.99"	"28.11"	"10464.8"	" 7565.8"	"1"
"P10_46x30_3"	"10"	"  581"	" 373"	"3"	"45.93"	"30.06"	"10453.3"	" 7956.3"	"0"
"P10_46x32_3"	"10"	"  698"	" 440"	"3"	"45.94"	"32.09"	"10456.0"	" 8362.5"	"0"
"P10_46x34_3"	"10"	"  435"	" 305"	"3"	"45.93"	"34.07"	"10453.4"	" 8759.7"	"0"
"P10_46x36_3"	"10"	"  297"	" 242"	"3"	"45.97"	"36.04"	"10460.7"	" 9154.0"	"0"
"P10_46x38_3"	"10"	"  388"	" 294"	"3"	"45.96"	"38.02"	"10458.3"	" 9551.2"	"0"
"P10_46x40_3"	"10"	"  363"	" 270"	"3"	"45.92"	"40.04"	"10451.4"	" 9955.4"	"0"
"P10_46x42_3"	"10"	"  348"	" 264"	"3"	"45.96"	"42.05"	"10459.6"	"10360.1"	"0"
"P10_46x44_3"	"10"	"  392"	" 305"	"3"	"45.99"	"44.06"	"10463.7"	"10761.9"	"0"
"P10_47x21_3"	"10"	"  976"	" 601"	"3"	"46.93"	"21.12"	"10634.9"	" 6165.3"	"1"
"P10_47x23_3"	"10"	"  376"	" 271"	"3"	"47.05"	"23.07"	"10656.5"	" 6555.6"	"0"
"P10_47x25_3"	"10"	"  963"	" 674"	"3"	"47.01"	"25.13"	"10649.4"	" 6968.3"	"0"
"P10_47x27_3"	"10"	" 2419"	"1220"	"3"	"47.01"	"27.10"	"10648.4"	" 7362.5"	"0"
"P10_47x29_3"	"10"	" 1395"	" 762"	"3"	"46.96"	"29.11"	"10640.5"	" 7765.6"	"1"
"P10_47x31_3"	"10"	"  689"	" 444"	"3"	"46.95"	"31.07"	"10637.3"	" 8159.0"	"0"
"P10_47x33_3"	"10"	"  424"	" 292"	"3"	"46.96"	"33.07"	"10638.8"	" 8559.2"	"0"
"P10_47x35_3"	"10"	"  326"	" 264"	"3"	"46.93"	"34.97"	"10633.8"	" 8939.5"	"0"
