,source,type,gene_id,gene_version,gene_name,gene_source,gene_biotype,gene_search,is_top_hvg
ENSG00000223823,havana,gene,ENSG00000223823,1,LINC01342,havana,lincRNA,LINC01342; ENSG00000223823,FALSE
ENSG00000272141,havana,gene,ENSG00000272141,1,AL390719.2,havana,lincRNA,AL390719.2; ENSG00000272141,FALSE
ENSG00000205231,havana,gene,ENSG00000205231,1,TTLL10-AS1,havana,antisense,TTLL10-AS1; ENSG00000205231,FALSE
ENSG00000162571,ensembl_havana,gene,ENSG00000162571,13,TTLL10,ensembl_havana,protein_coding,TTLL10; ENSG00000162571,FALSE
ENSG00000186891,ensembl_havana,gene,ENSG00000186891,13,TNFRSF18,ensembl_havana,protein_coding,TNFRSF18; ENSG00000186891,FALSE
ENSG00000186827,ensembl_havana,gene,ENSG00000186827,10,TNFRSF4,ensembl_havana,protein_coding,TNFRSF4; ENSG00000186827,FALSE
ENSG00000078808,ensembl_havana,gene,ENSG00000078808,16,SDF4,ensembl_havana,protein_coding,SDF4; ENSG00000078808,FALSE
ENSG00000176022,ensembl_havana,gene,ENSG00000176022,4,B3GALT6,ensembl_havana,protein_coding,B3GALT6; ENSG00000176022,FALSE
ENSG00000184163,ensembl_havana,gene,ENSG00000184163,3,C1QTNF12,ensembl_havana,protein_coding,C1QTNF12; ENSG00000184163,FALSE
ENSG00000260179,havana,gene,ENSG00000260179,1,AL162741.1,havana,lincRNA,AL162741.1; ENSG00000260179,FALSE
ENSG00000160087,ensembl_havana,gene,ENSG00000160087,20,UBE2J2,ensembl_havana,protein_coding,UBE2J2; ENSG00000160087,FALSE
ENSG00000230415,havana,gene,ENSG00000230415,1,LINC01786,havana,lincRNA,LINC01786; ENSG00000230415,FALSE
ENSG00000162572,ensembl_havana,gene,ENSG00000162572,20,SCNN1D,ensembl_havana,protein_coding,SCNN1D; ENSG00000162572,FALSE
ENSG00000131584,ensembl_havana,gene,ENSG00000131584,18,ACAP3,ensembl_havana,protein_coding,ACAP3; ENSG00000131584,FALSE
ENSG00000169972,ensembl_havana,gene,ENSG00000169972,11,PUSL1,ensembl_havana,protein_coding,PUSL1; ENSG00000169972,FALSE
ENSG00000127054,ensembl_havana,gene,ENSG00000127054,20,INTS11,ensembl_havana,protein_coding,INTS11; ENSG00000127054,FALSE
ENSG00000224051,ensembl_havana,gene,ENSG00000224051,6,CPTP,ensembl_havana,protein_coding,CPTP; ENSG00000224051,FALSE
ENSG00000169962,ensembl_havana,gene,ENSG00000169962,4,TAS1R3,ensembl_havana,protein_coding,TAS1R3; ENSG00000169962,FALSE
ENSG00000107404,ensembl_havana,gene,ENSG00000107404,19,DVL1,ensembl_havana,protein_coding,DVL1; ENSG00000107404,TRUE
ENSG00000162576,ensembl_havana,gene,ENSG00000162576,16,MXRA8,ensembl_havana,protein_coding,MXRA8; ENSG00000162576,TRUE
ENSG00000175756,ensembl_havana,gene,ENSG00000175756,13,AURKAIP1,ensembl_havana,protein_coding,AURKAIP1; ENSG00000175756,FALSE
ENSG00000221978,ensembl_havana,gene,ENSG00000221978,11,CCNL2,ensembl_havana,protein_coding,CCNL2; ENSG00000221978,FALSE
ENSG00000242485,ensembl_havana,gene,ENSG00000242485,5,MRPL20,ensembl_havana,protein_coding,MRPL20; ENSG00000242485,FALSE
ENSG00000272455,havana,gene,ENSG00000272455,1,AL391244.3,havana,lincRNA,AL391244.3; ENSG00000272455,FALSE
ENSG00000235098,ensembl_havana,gene,ENSG00000235098,8,ANKRD65,ensembl_havana,protein_coding,ANKRD65; ENSG00000235098,FALSE
ENSG00000225905,havana,gene,ENSG00000225905,1,AL391244.2,havana,antisense,AL391244.2; ENSG00000225905,FALSE
ENSG00000205116,ensembl_havana,gene,ENSG00000205116,3,TMEM88B,ensembl_havana,protein_coding,TMEM88B; ENSG00000205116,FALSE
ENSG00000225285,havana,gene,ENSG00000225285,1,LINC01770,havana,lincRNA,LINC01770; ENSG00000225285,FALSE
ENSG00000179403,ensembl_havana,gene,ENSG00000179403,11,VWA1,ensembl_havana,protein_coding,VWA1; ENSG00000179403,TRUE
ENSG00000215915,ensembl_havana,gene,ENSG00000215915,9,ATAD3C,ensembl_havana,protein_coding,ATAD3C; ENSG00000215915,FALSE
ENSG00000160072,ensembl_havana,gene,ENSG00000160072,19,ATAD3B,ensembl_havana,protein_coding,ATAD3B; ENSG00000160072,FALSE
ENSG00000197785,ensembl_havana,gene,ENSG00000197785,13,ATAD3A,ensembl_havana,protein_coding,ATAD3A; ENSG00000197785,FALSE
ENSG00000205090,ensembl_havana,gene,ENSG00000205090,8,TMEM240,ensembl_havana,protein_coding,TMEM240; ENSG00000205090,FALSE
ENSG00000160075,ensembl_havana,gene,ENSG00000160075,11,SSU72,ensembl_havana,protein_coding,SSU72; ENSG00000160075,FALSE
ENSG00000215014,havana,gene,ENSG00000215014,4,AL645728.1,havana,lincRNA,AL645728.1; ENSG00000215014,FALSE
ENSG00000228594,ensembl_havana,gene,ENSG00000228594,3,FNDC10,ensembl_havana,protein_coding,FNDC10; ENSG00000228594,FALSE
ENSG00000272106,havana,gene,ENSG00000272106,1,AL691432.2,havana,antisense,AL691432.2; ENSG00000272106,FALSE
ENSG00000197530,ensembl_havana,gene,ENSG00000197530,12,MIB2,ensembl_havana,protein_coding,MIB2; ENSG00000197530,FALSE
ENSG00000189409,ensembl_havana,gene,ENSG00000189409,13,MMP23B,ensembl_havana,protein_coding,MMP23B; ENSG00000189409,FALSE
ENSG00000248333,ensembl_havana,gene,ENSG00000248333,8,CDK11B,ensembl_havana,protein_coding,CDK11B; ENSG00000248333,FALSE
ENSG00000272004,havana,gene,ENSG00000272004,1,FO704657.1,havana,antisense,FO704657.1; ENSG00000272004,FALSE
ENSG00000189339,ensembl_havana,gene,ENSG00000189339,11,SLC35E2B,ensembl_havana,protein_coding,SLC35E2B; ENSG00000189339,FALSE
ENSG00000008128,ensembl_havana,gene,ENSG00000008128,22,CDK11A,ensembl_havana,protein_coding,CDK11A; ENSG00000008128,FALSE
ENSG00000215790,ensembl_havana,gene,ENSG00000215790,7,SLC35E2A,ensembl_havana,protein_coding,SLC35E2A; ENSG00000215790,FALSE
ENSG00000008130,ensembl_havana,gene,ENSG00000008130,15,NADK,ensembl_havana,protein_coding,NADK; ENSG00000008130,FALSE
ENSG00000078369,ensembl_havana,gene,ENSG00000078369,17,GNB1,ensembl_havana,protein_coding,GNB1; ENSG00000078369,FALSE
ENSG00000231050,havana,gene,ENSG00000231050,1,AL109917.1,havana,antisense,AL109917.1; ENSG00000231050,FALSE
ENSG00000169885,ensembl_havana,gene,ENSG00000169885,9,CALML6,ensembl_havana,protein_coding,CALML6; ENSG00000169885,FALSE
ENSG00000178821,ensembl_havana,gene,ENSG00000178821,12,TMEM52,ensembl_havana,protein_coding,TMEM52; ENSG00000178821,FALSE
ENSG00000142609,ensembl_havana,gene,ENSG00000142609,18,CFAP74,ensembl_havana,protein_coding,CFAP74; ENSG00000142609,FALSE
ENSG00000233542,havana,gene,ENSG00000233542,1,AL391845.2,havana,antisense,AL391845.2; ENSG00000233542,FALSE
ENSG00000187730,ensembl_havana,gene,ENSG00000187730,8,GABRD,ensembl_havana,protein_coding,GABRD; ENSG00000187730,FALSE
ENSG00000226969,havana,gene,ENSG00000226969,1,AL391845.1,havana,antisense,AL391845.1; ENSG00000226969,FALSE
ENSG00000067606,ensembl_havana,gene,ENSG00000067606,16,PRKCZ,ensembl_havana,protein_coding,PRKCZ; ENSG00000067606,FALSE
ENSG00000271806,havana,gene,ENSG00000271806,1,AL590822.2,havana,antisense,AL590822.2; ENSG00000271806,FALSE
ENSG00000182873,havana,gene,ENSG00000182873,5,PRKCZ-AS1,havana,antisense,PRKCZ-AS1; ENSG00000182873,FALSE
ENSG00000162585,ensembl_havana,gene,ENSG00000162585,16,FAAP20,ensembl_havana,protein_coding,FAAP20; ENSG00000162585,TRUE
ENSG00000234396,havana,gene,ENSG00000234396,3,AL590822.1,havana,lincRNA,AL590822.1; ENSG00000234396,FALSE
ENSG00000157933,ensembl_havana,gene,ENSG00000157933,9,SKI,ensembl_havana,protein_coding,SKI; ENSG00000157933,FALSE
ENSG00000116151,ensembl_havana,gene,ENSG00000116151,13,MORN1,ensembl_havana,protein_coding,MORN1; ENSG00000116151,FALSE
ENSG00000157916,ensembl_havana,gene,ENSG00000157916,19,RER1,ensembl_havana,protein_coding,RER1; ENSG00000157916,FALSE
ENSG00000157911,ensembl_havana,gene,ENSG00000157911,9,PEX10,ensembl_havana,protein_coding,PEX10; ENSG00000157911,FALSE
ENSG00000149527,ensembl_havana,gene,ENSG00000149527,17,PLCH2,ensembl_havana,protein_coding,PLCH2; ENSG00000149527,FALSE
ENSG00000224387,havana,gene,ENSG00000224387,1,AL139246.1,havana,antisense,AL139246.1; ENSG00000224387,FALSE
ENSG00000229393,havana,gene,ENSG00000229393,1,AL139246.4,havana,antisense,AL139246.4; ENSG00000229393,FALSE
ENSG00000157881,ensembl_havana,gene,ENSG00000157881,13,PANK4,ensembl_havana,protein_coding,PANK4; ENSG00000157881,FALSE
ENSG00000197921,ensembl_havana,gene,ENSG00000197921,5,HES5,ensembl_havana,protein_coding,HES5; ENSG00000197921,FALSE
ENSG00000272449,havana,gene,ENSG00000272449,2,AL139246.5,havana,lincRNA,AL139246.5; ENSG00000272449,FALSE
ENSG00000238164,havana,gene,ENSG00000238164,6,TNFRSF14-AS1,havana,antisense,TNFRSF14-AS1; ENSG00000238164,FALSE
ENSG00000157873,ensembl_havana,gene,ENSG00000157873,17,TNFRSF14,ensembl_havana,protein_coding,TNFRSF14; ENSG00000157873,TRUE
ENSG00000228037,havana,gene,ENSG00000228037,1,AL139246.3,havana,lincRNA,AL139246.3; ENSG00000228037,FALSE
ENSG00000157870,ensembl_havana,gene,ENSG00000157870,14,FAM213B,ensembl_havana,protein_coding,FAM213B; ENSG00000157870,FALSE
ENSG00000142606,ensembl_havana,gene,ENSG00000142606,15,MMEL1,ensembl_havana,protein_coding,MMEL1; ENSG00000142606,FALSE
ENSG00000237058,havana,gene,ENSG00000237058,1,AL831784.1,havana,antisense,AL831784.1; ENSG00000237058,FALSE
ENSG00000215912,ensembl_havana,gene,ENSG00000215912,12,TTC34,ensembl_havana,protein_coding,TTC34; ENSG00000215912,FALSE
ENSG00000283259,havana,gene,ENSG00000283259,1,AC242022.1,havana,antisense,AC242022.1; ENSG00000283259,FALSE
ENSG00000233234,havana,gene,ENSG00000233234,1,AL592464.2,havana,lincRNA,AL592464.2; ENSG00000233234,FALSE
ENSG00000231630,havana,gene,ENSG00000231630,1,AL592464.1,havana,lincRNA,AL592464.1; ENSG00000231630,FALSE
ENSG00000284745,havana,gene,ENSG00000284745,1,AL589702.1,havana,lincRNA,AL589702.1; ENSG00000284745,FALSE
ENSG00000169717,ensembl_havana,gene,ENSG00000169717,6,ACTRT2,ensembl_havana,protein_coding,ACTRT2; ENSG00000169717,FALSE
ENSG00000177133,ensembl_havana,gene,ENSG00000177133,10,LINC00982,ensembl_havana,antisense,LINC00982; ENSG00000177133,TRUE
ENSG00000142611,ensembl_havana,gene,ENSG00000142611,16,PRDM16,ensembl_havana,protein_coding,PRDM16; ENSG00000142611,FALSE
ENSG00000226286,havana,gene,ENSG00000226286,1,AL008733.1,havana,antisense,AL008733.1; ENSG00000226286,FALSE
ENSG00000272235,havana,gene,ENSG00000272235,1,AL590438.1,havana,lincRNA,AL590438.1; ENSG00000272235,FALSE
ENSG00000130762,ensembl_havana,gene,ENSG00000130762,14,ARHGEF16,ensembl_havana,protein_coding,ARHGEF16; ENSG00000130762,FALSE
ENSG00000272088,havana,gene,ENSG00000272088,1,AL512413.1,havana,lincRNA,AL512413.1; ENSG00000272088,FALSE
ENSG00000162591,ensembl_havana,gene,ENSG00000162591,15,MEGF6,ensembl_havana,protein_coding,MEGF6; ENSG00000162591,FALSE
ENSG00000238260,havana,gene,ENSG00000238260,1,AL513320.1,havana,antisense,AL513320.1; ENSG00000238260,FALSE
ENSG00000158109,ensembl_havana,gene,ENSG00000158109,14,TPRG1L,ensembl_havana,protein_coding,TPRG1L; ENSG00000158109,FALSE
ENSG00000116213,ensembl_havana,gene,ENSG00000116213,15,WRAP73,ensembl_havana,protein_coding,WRAP73; ENSG00000116213,FALSE
ENSG00000078900,ensembl_havana,gene,ENSG00000078900,14,TP73,ensembl_havana,protein_coding,TP73; ENSG00000078900,FALSE
ENSG00000227589,havana,gene,ENSG00000227589,1,AL136528.1,havana,antisense,AL136528.1; ENSG00000227589,FALSE
ENSG00000235131,havana,gene,ENSG00000235131,1,AL136528.2,havana,antisense,AL136528.2; ENSG00000235131,FALSE
ENSG00000162592,ensembl_havana,gene,ENSG00000162592,9,CCDC27,ensembl_havana,protein_coding,CCDC27; ENSG00000162592,FALSE
ENSG00000235169,ensembl_havana,gene,ENSG00000235169,8,SMIM1,ensembl_havana,protein_coding,SMIM1; ENSG00000235169,FALSE
ENSG00000130764,ensembl_havana,gene,ENSG00000130764,9,LRRC47,ensembl_havana,protein_coding,LRRC47; ENSG00000130764,FALSE
ENSG00000272153,havana,gene,ENSG00000272153,1,AL365330.1,havana,antisense,AL365330.1; ENSG00000272153,FALSE
ENSG00000116198,ensembl_havana,gene,ENSG00000116198,12,CEP104,ensembl_havana,protein_coding,CEP104; ENSG00000116198,FALSE
ENSG00000169598,ensembl_havana,gene,ENSG00000169598,15,DFFB,ensembl_havana,protein_coding,DFFB; ENSG00000169598,FALSE
ENSG00000198912,ensembl_havana,gene,ENSG00000198912,10,C1orf174,ensembl_havana,protein_coding,C1orf174; ENSG00000198912,FALSE
ENSG00000236423,havana,gene,ENSG00000236423,5,LINC01134,havana,lincRNA,LINC01134; ENSG00000236423,FALSE
ENSG00000233304,havana,gene,ENSG00000233304,6,LINC01346,havana,lincRNA,LINC01346; ENSG00000233304,FALSE
ENSG00000226374,havana,gene,ENSG00000226374,2,LINC01345,havana,lincRNA,LINC01345; ENSG00000226374,FALSE
ENSG00000284668,havana,gene,ENSG00000284668,1,AL805961.1,havana,lincRNA,AL805961.1; ENSG00000284668,FALSE
ENSG00000284703,havana,gene,ENSG00000284703,1,AL805961.2,havana,lincRNA,AL805961.2; ENSG00000284703,FALSE
ENSG00000235054,havana,gene,ENSG00000235054,3,LINC01777,havana,lincRNA,LINC01777; ENSG00000235054,FALSE
ENSG00000284694,havana,gene,ENSG00000284694,1,AL355602.1,havana,lincRNA,AL355602.1; ENSG00000284694,FALSE
ENSG00000227169,havana,gene,ENSG00000227169,2,Z98747.1,havana,lincRNA,Z98747.1; ENSG00000227169,FALSE
ENSG00000232596,havana,gene,ENSG00000232596,2,LINC01646,havana,lincRNA,LINC01646; ENSG00000232596,FALSE
ENSG00000196581,ensembl_havana,gene,ENSG00000196581,10,AJAP1,ensembl_havana,protein_coding,AJAP1; ENSG00000196581,FALSE
ENSG00000284739,havana,gene,ENSG00000284739,1,BX005132.2,havana,lincRNA,BX005132.2; ENSG00000284739,FALSE
ENSG00000284674,havana,gene,ENSG00000284674,1,BX005132.1,havana,lincRNA,BX005132.1; ENSG00000284674,FALSE
ENSG00000231510,havana,gene,ENSG00000231510,1,AL691497.1,havana,lincRNA,AL691497.1; ENSG00000231510,FALSE
ENSG00000284616,havana,gene,ENSG00000284616,1,AL139823.1,havana,lincRNA,AL139823.1; ENSG00000284616,FALSE
ENSG00000284692,havana,gene,ENSG00000284692,1,Z98259.3,havana,lincRNA,Z98259.3; ENSG00000284692,FALSE
ENSG00000284666,havana,gene,ENSG00000284666,1,Z98259.2,havana,lincRNA,Z98259.2; ENSG00000284666,FALSE
ENSG00000260972,havana,gene,ENSG00000260972,1,Z98259.1,havana,lincRNA,Z98259.1; ENSG00000260972,FALSE
ENSG00000236948,havana,gene,ENSG00000236948,2,AL365255.1,havana,lincRNA,AL365255.1; ENSG00000236948,FALSE
ENSG00000131697,ensembl_havana,gene,ENSG00000131697,17,NPHP4,ensembl_havana,protein_coding,NPHP4; ENSG00000131697,FALSE
ENSG00000069424,ensembl_havana,gene,ENSG00000069424,14,KCNAB2,ensembl_havana,protein_coding,KCNAB2; ENSG00000069424,FALSE
ENSG00000116254,ensembl_havana,gene,ENSG00000116254,17,CHD5,ensembl_havana,protein_coding,CHD5; ENSG00000116254,FALSE
ENSG00000116251,ensembl_havana,gene,ENSG00000116251,9,RPL22,ensembl_havana,protein_coding,RPL22; ENSG00000116251,FALSE
ENSG00000226944,havana,gene,ENSG00000226944,1,AL031847.1,havana,antisense,AL031847.1; ENSG00000226944,FALSE
ENSG00000158286,ensembl_havana,gene,ENSG00000158286,12,RNF207,ensembl_havana,protein_coding,RNF207; ENSG00000158286,FALSE
ENSG00000116237,ensembl_havana,gene,ENSG00000116237,15,ICMT,ensembl_havana,protein_coding,ICMT; ENSG00000116237,FALSE
ENSG00000225077,ensembl_havana,gene,ENSG00000225077,2,LINC00337,ensembl_havana,lincRNA,LINC00337; ENSG00000225077,FALSE
ENSG00000173673,ensembl_havana,gene,ENSG00000173673,7,HES3,ensembl_havana,protein_coding,HES3; ENSG00000173673,FALSE
ENSG00000158292,ensembl_havana,gene,ENSG00000158292,6,GPR153,ensembl_havana,protein_coding,GPR153; ENSG00000158292,FALSE
ENSG00000097021,ensembl_havana,gene,ENSG00000097021,19,ACOT7,ensembl_havana,protein_coding,ACOT7; ENSG00000097021,FALSE
ENSG00000271746,havana,gene,ENSG00000271746,1,AL031848.2,havana,antisense,AL031848.2; ENSG00000271746,FALSE
ENSG00000069812,ensembl_havana,gene,ENSG00000069812,11,HES2,ensembl_havana,protein_coding,HES2; ENSG00000069812,FALSE
ENSG00000187017,ensembl_havana,gene,ENSG00000187017,16,ESPN,ensembl_havana,protein_coding,ESPN; ENSG00000187017,FALSE
ENSG00000231868,havana,gene,ENSG00000231868,1,AL031848.1,havana,antisense,AL031848.1; ENSG00000231868,FALSE
ENSG00000215788,ensembl_havana,gene,ENSG00000215788,9,TNFRSF25,ensembl_havana,protein_coding,TNFRSF25; ENSG00000215788,FALSE
ENSG00000171680,ensembl_havana,gene,ENSG00000171680,21,PLEKHG5,ensembl_havana,protein_coding,PLEKHG5; ENSG00000171680,FALSE
ENSG00000162408,ensembl_havana,gene,ENSG00000162408,10,NOL9,ensembl_havana,protein_coding,NOL9; ENSG00000162408,FALSE
ENSG00000173662,ensembl_havana,gene,ENSG00000173662,20,TAS1R1,ensembl_havana,protein_coding,TAS1R1; ENSG00000173662,FALSE
ENSG00000204859,ensembl_havana,gene,ENSG00000204859,12,ZBTB48,ensembl_havana,protein_coding,ZBTB48; ENSG00000204859,FALSE
ENSG00000162413,ensembl_havana,gene,ENSG00000162413,16,KLHL21,ensembl_havana,protein_coding,KLHL21; ENSG00000162413,FALSE
ENSG00000116273,ensembl_havana,gene,ENSG00000116273,5,PHF13,ensembl_havana,protein_coding,PHF13; ENSG00000116273,FALSE
ENSG00000041988,ensembl_havana,gene,ENSG00000041988,15,THAP3,ensembl_havana,protein_coding,THAP3; ENSG00000041988,FALSE
ENSG00000007923,ensembl_havana,gene,ENSG00000007923,15,DNAJC11,ensembl_havana,protein_coding,DNAJC11; ENSG00000007923,FALSE
ENSG00000228750,havana,gene,ENSG00000228750,6,LINC01672,havana,lincRNA,LINC01672; ENSG00000228750,FALSE
ENSG00000284744,havana,gene,ENSG00000284744,1,AL591163.1,havana,lincRNA,AL591163.1; ENSG00000284744,FALSE
ENSG00000237436,havana,gene,ENSG00000237436,1,CAMTA1-DT,havana,antisense,CAMTA1-DT; ENSG00000237436,FALSE
ENSG00000171735,ensembl_havana,gene,ENSG00000171735,18,CAMTA1,ensembl_havana,protein_coding,CAMTA1; ENSG00000171735,FALSE
ENSG00000237365,havana,gene,ENSG00000237365,1,AL512330.1,havana,antisense,AL512330.1; ENSG00000237365,FALSE
ENSG00000237728,havana,gene,ENSG00000237728,2,Z97987.1,havana,antisense,Z97987.1; ENSG00000237728,FALSE
ENSG00000225126,havana,gene,ENSG00000225126,1,AL365194.1,havana,antisense,AL365194.1; ENSG00000225126,FALSE
ENSG00000270171,havana,gene,ENSG00000270171,1,AL359881.3,havana,lincRNA,AL359881.3; ENSG00000270171,FALSE
ENSG00000270035,havana,gene,ENSG00000270035,1,AL359881.2,havana,lincRNA,AL359881.2; ENSG00000270035,FALSE
ENSG00000269978,havana,gene,ENSG00000269978,1,AL359881.1,havana,lincRNA,AL359881.1; ENSG00000269978,FALSE
ENSG00000049245,ensembl_havana,gene,ENSG00000049245,12,VAMP3,ensembl_havana,protein_coding,VAMP3; ENSG00000049245,TRUE
ENSG00000049246,ensembl_havana,gene,ENSG00000049246,14,PER3,ensembl_havana,protein_coding,PER3; ENSG00000049246,FALSE
ENSG00000236266,havana,gene,ENSG00000236266,1,Z98884.1,havana,antisense,Z98884.1; ENSG00000236266,FALSE
ENSG00000049247,ensembl_havana,gene,ENSG00000049247,13,UTS2,ensembl_havana,protein_coding,UTS2; ENSG00000049247,FALSE
ENSG00000049249,ensembl_havana,gene,ENSG00000049249,8,TNFRSF9,ensembl_havana,protein_coding,TNFRSF9; ENSG00000049249,FALSE
ENSG00000116288,ensembl_havana,gene,ENSG00000116288,12,PARK7,ensembl_havana,protein_coding,PARK7; ENSG00000116288,FALSE
ENSG00000284747,havana,gene,ENSG00000284747,1,AL034417.4,havana,antisense,AL034417.4; ENSG00000284747,FALSE
ENSG00000284716,havana,gene,ENSG00000284716,1,AL034417.3,havana,lincRNA,AL034417.3; ENSG00000284716,FALSE
ENSG00000116285,ensembl_havana,gene,ENSG00000116285,12,ERRFI1,ensembl_havana,protein_coding,ERRFI1; ENSG00000116285,FALSE
ENSG00000238290,havana,gene,ENSG00000238290,1,AL034417.2,havana,lincRNA,AL034417.2; ENSG00000238290,FALSE
ENSG00000227634,havana,gene,ENSG00000227634,2,LINC01714,havana,lincRNA,LINC01714; ENSG00000227634,FALSE
ENSG00000233645,havana,gene,ENSG00000233645,1,AL358876.2,havana,lincRNA,AL358876.2; ENSG00000233645,FALSE
ENSG00000162426,ensembl_havana,gene,ENSG00000162426,14,SLC45A1,ensembl_havana,protein_coding,SLC45A1; ENSG00000162426,FALSE
ENSG00000142599,ensembl_havana,gene,ENSG00000142599,17,RERE,ensembl_havana,protein_coding,RERE; ENSG00000142599,FALSE
ENSG00000232912,havana,gene,ENSG00000232912,5,AL096855.1,havana,antisense,AL096855.1; ENSG00000232912,FALSE
ENSG00000228423,havana,gene,ENSG00000228423,2,AL357552.2,havana,lincRNA,AL357552.2; ENSG00000228423,FALSE
ENSG00000074800,ensembl_havana,gene,ENSG00000074800,14,ENO1,ensembl_havana,protein_coding,ENO1; ENSG00000074800,FALSE
ENSG00000230679,havana,gene,ENSG00000230679,1,ENO1-AS1,havana,antisense,ENO1-AS1; ENSG00000230679,FALSE
ENSG00000131686,ensembl_havana,gene,ENSG00000131686,14,CA6,ensembl_havana,protein_coding,CA6; ENSG00000131686,FALSE
ENSG00000197241,ensembl_havana,gene,ENSG00000197241,3,SLC2A7,ensembl_havana,protein_coding,SLC2A7; ENSG00000197241,FALSE
ENSG00000142583,ensembl_havana,gene,ENSG00000142583,17,SLC2A5,ensembl_havana,protein_coding,SLC2A5; ENSG00000142583,FALSE
ENSG00000180758,ensembl_havana,gene,ENSG00000180758,11,GPR157,ensembl_havana,protein_coding,GPR157; ENSG00000180758,FALSE
